Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
162 bd national,13003,Fissures humidité dans le logement toiture risque de s'effondrer problème évacuation des eaux usées,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/77c9ef5b04c9-IMG_20181107_084942.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNzdjOWVmNWIwNGM5LUlNR18yMDE4MTEwN18wODQ5NDIuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTVUMTI1NjE4WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MDA0ODg2YmEwNGIwM2Q5MTg3ZGZlYmJmMTJlMmU1MDIzYTJmNDUyMzg2MTU1YTAyNzhjOTY2YmI5YzFkZDI1NQ%3D%3D,un office HLM,Non
rue Clovis Hugues,13003,"Cage d'escalier en déconfiture , fissure dans les murs, fuite d'eau, câble électrique apparent",https://api.typeform.com/forms/w1hLPb/responses/98778a63e222084bce0897ae5f8d4ec4/fields/Myuxql01XqGd/files/088390f5db6c-DSC_0112.JPG,privé,Non
toute la rue clovis hugues,13003,réparation électrique temporaire dangereuse dans toute la rue,https://api.typeform.com/forms/w1hLPb/responses/a6de18fd6964626a7a22dc5354e25e3e/fields/Myuxql01XqGd/files/f2e1ae06510c-Collage_fil_électrique.png,privé,Oui
5 rue Linné ,13004,"Insalubre_x000D_
Caffard_x000D_
Souris_x000D_
Puce de lit_x000D_
Pas au norme ",,privé,Non
81 avenue Maréchal Foch ,13004,60m2 t3 pour une famille 2 parents une fille de 22ans 2 garçons de 16 et 17 ans dormant dans le salon. Pas de double vitrage (bruit: en face de na gare de la blancarde bus voiture tramway...) volets vieux grinçant. Électricité pas au norme. 800euros de loyer. Sans parking. Un seul salaire. ,,privé,Je ne sais pas
10 rue balthazar de montron,13004,sol crevasser eau qui s infiltre fissure sur les murs ,,privé,Je ne sais pas
20 Boulevard Rougier ,13004,Apparition de fissure il y a un ans et sa se dégrade de jour en jour sa deviens pire fuite d eau l Anne dernière on c est retrouver sans chauffage les porte ne ce ferme plus les volets non plus le sol n’est pas droit il est pencher maintenant cela fais vraiment peur j’ai beau me plaindre à l’agence mais personne intervient j’ai vraiment peur avec ce qu’il ce passe en ce moment si on pourrais m’aider me dire ce que je doit faire parce que on ai un jeune couple dans l’appartement et ne nous connaissons pas grand choses à tout sa merci de me venir en aide ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/b3a83d3443b2-533D5FEA_DC3F_498C_B379_483132BA294D.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYjNhODNkMzQ0M2IyLTUzM0Q1RkVBX0RDM0ZfNDk4Q19CMzc5XzQ4MzEzMkJBMjk0RC5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOFQwMDQyMzBaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT03NGYzZGI5YTI3NWFmNmY0NjVkZjI2ZmQ4NDQwNjc1MGE3MDQzYzQxMzZhMzkxYWNmNTk4NTUzNDI1YTAxYTVk,je ne sais pas,Je ne sais pas
30 rue lacépède,13004,Remontées capillaires et fissures façade,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/aabccbadaf9f-GetAttachmentThumbnail_4.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYWFiY2NiYWRhZjlmLUdldEF0dGFjaG1lbnRUaHVtYm5haWxfNC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOFQwNzM3NDhaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT04ZjM4YWRkMzQ5NmMyYTg1NGI2ZTUxY2Y5NzVkYzc5ZDJjM2E1MDkxMzg3NmRhMmExZTNjZmY4NzlmMDllZDJh,privé,Non
69 boulevard louis botinelly,13004,fissures apparentes de plus en plus larges,,privé,Je ne sais pas
154 boulevard de la libération ,13004,Indigne ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/9083982afdef-IMG_3466.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOTA4Mzk4MmFmZGVmLUlNR18zNDY2LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDExMTgwNFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWJmZWM4NDc1ZWRmZGZkNjJmNjk5NWE3ZDMxNTUyZDE3M2YxYjkzODI4NTNmY2RkZTUzYzgwYTdiMjI0YmVlZTY%3D,privé,Non
69 BD boisson ,13004,"Le long de la voie ferrée, mon appartement est ok, mais l'immeuble a des fissures, la cage d'escalier s'est déjà effondrée. Poutre de toiture cassée suite à la construction d'un grand immeuble neuf ave 2 sous sols concomitant. La mairie a été prévenue à l'époque des travaux. Sans suite. ",,privé,Non
1 rue traverse sainte-rose,13004,Très bon,,privé,Non
49 boulevard Dahdah ,13004,Insalubre taudis rats marchands de sommeil ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/daf48721e554-1541793968838_1541793800238_0_20180731_192936.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZGFmNDg3MjFlNTU0LTE1NDE3OTM5Njg4MzhfMTU0MTc5MzgwMDIzOF8wXzIwMTgwNzMxXzE5MjkzNi5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQyMDEwMThaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1hZTI2OTFmZjJlNmY5NzM4M2MyOWZjNGMwZDA5YmQ2OWY1OWI1OGJiYzdhOGVlNTBiNTc3YWY2MGVkMTA2ZGYz,privé,Je ne sais pas
erreur pas 49 mais 51 boulevard dahdah ,13004,Insalubre taudis rats marchands de sommeil ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/e21df1475212-1541793968838_1541793800238_0_20180731_192936.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZTIxZGYxNDc1MjEyLTE1NDE3OTM5Njg4MzhfMTU0MTc5MzgwMDIzOF8wXzIwMTgwNzMxXzE5MjkzNi5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQyMDE2NDFaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1mMDdiNTg0ZjMxNzg4MmI5N2JmODBjNDEwZDU2ODg0Mjk4OTRlYWY4OGUxNjQ5ZDU4OTEwMjEzMWE3MWQxZDZm,privé,Je ne sais pas
Bd pardigon,13004,"Affaissement des sols dans différentes pièces, gros décalages entre le mur et le sol, tomettes qui se cassent sans marcher dessus, sols qui se fissurent, portes qui sont en décalages avec les cadrans........",,privé,Oui
21 rue des trois frères carasso ,13004,"Balcon qui risque de s'effondré , faux plafond de la cuisine qui risque également de s'effondré, électricité hors normes, taille du muré des fenêtres trop petite donc dangereuse pour mes enfants , fissure sur les murs, plaintes mangé par je ne sais quels insecte de plus fenêtres qui ne sont pas en double vitrage donc l'air passe de dehors , la porte de la cuisine qui donne sur le balcon se ferme très mal surtout le haut il y a un espace donc l'air passe et le boitier d'electricité qui ne peut contenir que 6kwh hors nous avons besoin de 9kwh mais les propriétaires ne veulent rien savoir donc obligé f'eteindre et rallumé les chauffages pour pouvoir cuisiné ou lancé une machine a lavé donc la maison se refroisit entre temps . ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/ee65839d1eec-20181011_144435.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZWU2NTgzOWQxZWVjLTIwMTgxMDExXzE0NDQzNS5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTEwJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMFQyMjE3MDdaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT04NDkyYTMwYTIzNWVkMmM4ZTJmYWNiOTRjNmJiNDZjNzlkNTk0MDlkYmY3YzQ0M2IyMzczZjZhM2Y2MjdmYTk2,privé,Je ne sais pas
4 rue esperandieu,13004,insalubre,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/19b83f1b2ae7-P1000586.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMTliODNmMWIyYWU3LVAxMDAwNTg2LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTMlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTEzVDIwMDI0OFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTIwMzA3ZTNhZjAyYzE1MDFhZmRhY2Q1MTYyMTk1Njg5M2I5YjlkNGRhMjU4YWIxZWY1ZjRlNjljOWViMzJjMzM%3D,privé,Non
81 BLD JEANNE D ARC,13005,correct a part les caves !!! souvent innondées!!,,un office HLM,Je ne sais pas
52 rue Sainte Cécile,13005,se situe au dessus d'un local detrempé,,je ne sais pas,Je ne sais pas
53 rue du camas,13005,Convenable ,,privé,Non
32 rue sainte Cécile,13005,"Vétuste : pans de murs qui se décollent, dégât des eaux dans le cagibi, tomettes brisées à plusieurs endroits, fils électriques nus encadrant les portes, humidité, moisissure, cafards ",,privé,Je ne sais pas
32 rue sainte Cécile,13005,"Vétuste : pans de murs qui se décollent, dégât des eaux dans le cagibi, tomettes brisées à plusieurs endroits, fils électriques nus encadrant les portes, humidité, moisissure, cafards ",,privé,Je ne sais pas
286 rue saint pierre,13005,Refait soit disant à neuf pour cacher les infiltrations et les moisissures ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/ea65046d0bd7-IMG_20181108_1846509_2.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZWE2NTA0NmQwYmQ3LUlNR18yMDE4MTEwOF8xODQ2NTA5XzIuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMTc1MTA5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NWQ0ODk0ZTA1ZGZlNDNiYjg4Yzk5YzI3YjI5NzliOWY5YmE2ZGFjOGJhZGUwNTlmZGQxMTJjMzQ1ZDBhZGM3MA%3D%3D,privé,Non
9 rue Michel merino,13005,"3eme étage, sous'les toits. Le logement est propre , récemment rénové. Cependant des fuites existent sur le toit. Les poutres sont humides et de multiples fuites sont à déplorer",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/4ead289c044b-IMG_20181108_202914.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNGVhZDI4OWMwNDRiLUlNR18yMDE4MTEwOF8yMDI5MTQuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMTkyOTU4WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NTNlZWE4MWMwYmRjOTgyNDEyYjkzMzYyMzNjY2RmOTYzNzNmNjI0YTVlY2QwNmEwZGU5YTM5YTQzNTQwZDJkNw%3D%3D,privé,Non
58 rue des vertus,13005,"depuis plusieurs années, on voit des fissures où on peut passer la main sur la façade intérieure de cet immeuble. Attention, la façade extérieure sur la rue ne laisse rien paraître car elle a été repeinte. Rien n'a été fait pour les fissures. Depuis 2 mois, la famille qui vit là, ne peut plus ouvrir ses volets car les volets bloquent dans le cadre de la fenêtre. Les tuiles tombent, la gouttière est tombée. Cet été la douche fuyait dans le garage auto du rez de chaussée. L'appartement est au dessus d'un garage dont le toit est en amiante. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/7d0d60c90607-P1020755.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvN2QwZDYwYzkwNjA3LVAxMDIwNzU1LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDIwMjc0NlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTFjMmZhZTc5ZGExZWFlNDI5NGI1M2UzYjcwZWQxYmIyZjkxNGY2OWFhYzZmYTMzYmRmOWRlYjM1ZGZkMzQ3MDA%3D,je ne sais pas,Je ne sais pas
25 rue ferrari,13005,FISSURE FUITE EAU QUASI PERMANENTE,,privé,Non
10 rue  d.Oran 5eme,13005,Facade avec pierres apparentesprémices de dégradation,,privé,Non
176 BOULEVARD CHAVE,13005,"Il y a 10 ans, au rez de chaussé de cet immeuble un mur porteur a été enlevé sans ajout d'ipn ou d'upn. Les appartements des étages supérieurs présente des fissures de plusieurs centimètres aux sols, aux plafonds et sur les murs. Le sol s'est affaissé à tel point qu'il n'était plus possible d'ouvrir la porte d'entrée des appartements sans couper la porte (cf photo). En 2008 l'immeuble a été classé en péril. Et : ""considérant qu'une erreur de rédaction s'est produite dans l'arrêté n°2017_00346_VDM du 24 mars 2017, suite à une information erronée quant ç l'appartenance et l'adresse de plusieurs copropriétaires du bien,..,considérant qu'une autre erreur de rédaction s'est produite dans l'arrêté N°2017_00346_VDM du 24 mars 2017, concernant la date de prise de l'arrêté n°08/461/DPSP,..., la mainlevée de l'arrêté de péril n°08/461/DPSP du 24 Octobre 2008 est prononcée"". Il faut signaler en outre que le Rez de chaussé est un bar-boite de nuit en core ouvert et recevant un public nombreux.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/46be2b43524b-176_BD_CHAVE.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDZiZTJiNDM1MjRiLTE3Nl9CRF9DSEFWRS5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTExJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMVQxMTUyNTdaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1mOTA2OWNmMjMxZWEyMWY3YTAyMmNmOWRkNjNmZmFhNTllNjlhMDk3NGVlYTU0ZTUzM2FhOGRlMDExMWM1ZjU2,privé,Oui
73 rue roger brun,13005,"Le 31 octobre à 21h suite à des infiltrations d'eau,le plafond de ma cuisine est tombé, plus d'électricité, inhabitable. Et devinez qui est le syndic de l'immeuble le cabinet liautard celui qui avait le 65 de la rue d'aubagne bravo",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/2f2654d34f8e-IMG_20181106_143243.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMmYyNjU0ZDM0ZjhlLUlNR18yMDE4MTEwNl8xNDMyNDMuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMTYwMjAzWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ZDdlMzZkMzQ5MWYxNmU0ZjQwOWI1MjUwZmM0MDIwYTc5ZjNiN2U1Yzc3MmMzYmJhYjVmMjU1NTU3MjY2MDNmMg%3D%3D,privé,Non
5 rue curie ,13005,A l'entrée de l'immeuble des tâches d'humidité la cheminée sur le toit présente des fissures et il pleut dans un des appartements au rdc ,,privé,Non
169 boulevard chave,13005,Fuite dans le toit depuis un an qui s’ecoule par le faux plafond de la salle de bain. La fenêtre des toilettes n’est plus étanche non plus et le bois des deux fenêtres du salon a gonflé depuis les dernières pluie et je ne peux plus les ouvrir ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/923dd2fe51cf-7E27AF70_3CE2_421E_9806_1A37B04C36CA.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOTIzZGQyZmU1MWNmLTdFMjdBRjcwXzNDRTJfNDIxRV85ODA2XzFBMzdCMDRDMzZDQS5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTNUMTU0MTU5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YWNlOTg0OTQ5NDViYmY1YjRmM2YzZDM2NTIzY2Y5YmYxYWEyZDZmZDg2YTNjZTUwY2Y2N2MyYjBkMDY2ZjRkYw%3D%3D,privé,Non
43 rue Edmond Rostand,13006,"Electricité pas aux normes, tableau vetuste,_x000D_
Eau qui coule du plafond de la salle de bain_x000D_
Problème d'écoulement des eaux occasionnant des bouchons assez régulierement. Dernièrement ce problème d'écoulement a provoqué un dégât des eaux qui a troué le plafond sous mon bac de douche.",,privé,Non
1 rue lafon,13006,"En apparence rien d’alarmant, à l’interieur c’est une toute autre chose. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/3d21d748661b-5084ECBA_0B57_4E40_B86D_472CF69619B0.MOV?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvM2QyMWQ3NDg2NjFiLTUwODRFQ0JBXzBCNTdfNEU0MF9CODZEXzQ3MkNGNjk2MTlCMC5NT1Y%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOFQwMTA0MjVaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1kMDU3NDc0N2FmZDVjOTY2ZmViOGMzYTdiNzdiYTE0NjhjOGQ5N2YzN2Y5YTUwM2Q1ZDNhYzgwMWQ1YWZiM2Iw,privé,Je ne sais pas
26 rue St Michel ,13006,"Infiltration de l'eau entre mon plafond cusine/sale de bain et la terrasse en dessus ! Entre le mur cusine et plafond cusine des morceau pierre tombe, des gouttes d'eau non stop sale de bain qui tombe du plafond, pendant la pluie l'eau qui coule entre fenêtre et mure cusine ! ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/28ffa889f6bf-DSC_0124.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMjhmZmE4ODlmNmJmLURTQ18wMTI0LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDA3MjIzMFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTdmNjJkNjc2ZDBhMzI5ZThiYjdkMjI5OWFkYTAxOWRiN2MyNjIwMWZkZjg5OWRiYmQxZGRkN2Q3YTVmNWQ0NWU%3D,privé,Non
18 Rue D’italie,13006,Infiltration par toiture dans 2 chambres et aucune isolation du plafond,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/0bf39b0628b1-IMG_2855.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMGJmMzliMDYyOGIxLUlNR18yODU1LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDA4MDYyMlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTIwYjZiYjQ4N2QyMGIzMWZhNzBhMDhmNDBjNTg2NTU5MjVmMTNhN2I2MTViMTkyNzNlZjA0YjdjYzRlNTIyNzU%3D,privé,Je ne sais pas
4 rue maurice favier,13006,"une honte, quand on marche ça tremble, immeuble très ancien, en plus il a failli prendre feu dans la cage d'escalier y'a un an à cause de l'installation électrique vétuste",,privé,Je ne sais pas
4 rue Maurice favier,13006,"Immeuble mal entretenu, le sol bougeait, fuite d'eau récurrente de notre salle de bain chez la voisine du dessous, et une odeur de brûlé en pleine nuit alors que j'étais seule avec mes 2 jeunes enfants, intervention des pompiers qui nous ont dit qu'on avait échappé à l'incendie ! 3 appartements dans cet Immeuble, nous étions les seuls locataires, les 2 autres, propriétaires, n'ont rien voulu faire .... nous, nous sommes partis dans du neuf !!!!!",,privé,Je ne sais pas
